id	_exptl_crystal_grow.temp	_exptl_crystal_grow.method
D_1001405494	293	VAPOR DIFFUSION, SITTING DROP
D_1001405495	293	VAPOR DIFFUSION, SITTING DROP
D_1001405496	293	VAPOR DIFFUSION, SITTING DROP
D_1001405497	293	VAPOR DIFFUSION, SITTING DROP
D_1001405498	293	VAPOR DIFFUSION, SITTING DROP
D_1001405499	293	VAPOR DIFFUSION, SITTING DROP
D_1001405500	293	VAPOR DIFFUSION, SITTING DROP
D_1001405501	293	VAPOR DIFFUSION, SITTING DROP
D_1001405502	293	VAPOR DIFFUSION, SITTING DROP
D_1001405503	293	VAPOR DIFFUSION, SITTING DROP
D_1001405504	293	VAPOR DIFFUSION, SITTING DROP
D_1001405505	293	VAPOR DIFFUSION, SITTING DROP
D_1001405506	293	VAPOR DIFFUSION, SITTING DROP
D_1001405507	293	VAPOR DIFFUSION, SITTING DROP
D_1001405508	293	VAPOR DIFFUSION, SITTING DROP
D_1001405509	293	VAPOR DIFFUSION, SITTING DROP
D_1001405510	293	VAPOR DIFFUSION, SITTING DROP
D_1001405511	293	VAPOR DIFFUSION, SITTING DROP
D_1001405512	293	VAPOR DIFFUSION, SITTING DROP
D_1001405513	293	VAPOR DIFFUSION, SITTING DROP
D_1001405514	293	VAPOR DIFFUSION, SITTING DROP
D_1001405515	293	VAPOR DIFFUSION, SITTING DROP
D_1001405516	293	VAPOR DIFFUSION, SITTING DROP
D_1001405517	293	VAPOR DIFFUSION, SITTING DROP
D_1001405518	293	VAPOR DIFFUSION, SITTING DROP
D_1001405519	293	VAPOR DIFFUSION, SITTING DROP
D_1001405520	293	VAPOR DIFFUSION, SITTING DROP
D_1001405521	293	VAPOR DIFFUSION, SITTING DROP
D_1001405522	293	VAPOR DIFFUSION, SITTING DROP
D_1001405523	293	VAPOR DIFFUSION, SITTING DROP
D_1001405524	293	VAPOR DIFFUSION, SITTING DROP
D_1001405525	293	VAPOR DIFFUSION, SITTING DROP
D_1001405526	293	VAPOR DIFFUSION, SITTING DROP
D_1001405527	293	VAPOR DIFFUSION, SITTING DROP
D_1001405528	293	VAPOR DIFFUSION, SITTING DROP
D_1001405529	293	VAPOR DIFFUSION, SITTING DROP
D_1001405530	293	VAPOR DIFFUSION, SITTING DROP
D_1001405531	293	VAPOR DIFFUSION, SITTING DROP
D_1001405532	293	VAPOR DIFFUSION, SITTING DROP
D_1001405533	293	VAPOR DIFFUSION, SITTING DROP
D_1001405534	293	VAPOR DIFFUSION, SITTING DROP
D_1001405535	293	VAPOR DIFFUSION, SITTING DROP
D_1001405536	293	VAPOR DIFFUSION, SITTING DROP
D_1001405537	293	VAPOR DIFFUSION, SITTING DROP
D_1001405538	293	VAPOR DIFFUSION, SITTING DROP
D_1001405539	293	VAPOR DIFFUSION, SITTING DROP
D_1001405540	293	VAPOR DIFFUSION, SITTING DROP
D_1001405541	293	VAPOR DIFFUSION, SITTING DROP
D_1001405542	293	VAPOR DIFFUSION, SITTING DROP
D_1001405543	293	VAPOR DIFFUSION, SITTING DROP
D_1001405544	293	VAPOR DIFFUSION, SITTING DROP
D_1001405545	293	VAPOR DIFFUSION, SITTING DROP
D_1001405546	293	VAPOR DIFFUSION, SITTING DROP
D_1001405547	293	VAPOR DIFFUSION, SITTING DROP
D_1001405548	293	VAPOR DIFFUSION, SITTING DROP
D_1001405549	293	VAPOR DIFFUSION, SITTING DROP
D_1001405550	293	VAPOR DIFFUSION, SITTING DROP
D_1001405551	293	VAPOR DIFFUSION, SITTING DROP
D_1001405552	293	VAPOR DIFFUSION, SITTING DROP
D_1001405553	293	VAPOR DIFFUSION, SITTING DROP
D_1001405554	293	VAPOR DIFFUSION, SITTING DROP
D_1001405555	293	VAPOR DIFFUSION, SITTING DROP
D_1001405556	293	VAPOR DIFFUSION, SITTING DROP
D_1001405557	293	VAPOR DIFFUSION, SITTING DROP
D_1001405558	293	VAPOR DIFFUSION, SITTING DROP
D_1001405559	293	VAPOR DIFFUSION, SITTING DROP
D_1001405560	293	VAPOR DIFFUSION, SITTING DROP
D_1001405561	293	VAPOR DIFFUSION, SITTING DROP
D_1001405562	293	VAPOR DIFFUSION, SITTING DROP
D_1001405563	293	VAPOR DIFFUSION, SITTING DROP
D_1001405564	293	VAPOR DIFFUSION, SITTING DROP
D_1001405565	293	VAPOR DIFFUSION, SITTING DROP
D_1001405566	293	VAPOR DIFFUSION, SITTING DROP
D_1001405567	293	VAPOR DIFFUSION, SITTING DROP
D_1001405568	293	VAPOR DIFFUSION, SITTING DROP
D_1001405569	293	VAPOR DIFFUSION, SITTING DROP
D_1001405570	293	VAPOR DIFFUSION, SITTING DROP
D_1001405571	293	VAPOR DIFFUSION, SITTING DROP
D_1001405572	293	VAPOR DIFFUSION, SITTING DROP
D_1001405573	293	VAPOR DIFFUSION, SITTING DROP
D_1001405574	293	VAPOR DIFFUSION, SITTING DROP
D_1001405575	293	VAPOR DIFFUSION, SITTING DROP
D_1001405576	293	VAPOR DIFFUSION, SITTING DROP
D_1001405577	293	VAPOR DIFFUSION, SITTING DROP
D_1001405578	293	VAPOR DIFFUSION, SITTING DROP
D_1001405579	293	VAPOR DIFFUSION, SITTING DROP
D_1001405580	293	VAPOR DIFFUSION, SITTING DROP
D_1001405581	293	VAPOR DIFFUSION, SITTING DROP
D_1001405582	293	VAPOR DIFFUSION, SITTING DROP
D_1001405583	293	VAPOR DIFFUSION, SITTING DROP
D_1001405584	293	VAPOR DIFFUSION, SITTING DROP
D_1001405585	293	VAPOR DIFFUSION, SITTING DROP
D_1001405586	293	VAPOR DIFFUSION, SITTING DROP
D_1001405587	293	VAPOR DIFFUSION, SITTING DROP
D_1001405588	293	VAPOR DIFFUSION, SITTING DROP
D_1001405589	293	VAPOR DIFFUSION, SITTING DROP
D_1001405590	293	VAPOR DIFFUSION, SITTING DROP
D_1001405591	293	VAPOR DIFFUSION, SITTING DROP
D_1001405592	293	VAPOR DIFFUSION, SITTING DROP
D_1001405593	293	VAPOR DIFFUSION, SITTING DROP
D_1001405594	293	VAPOR DIFFUSION, SITTING DROP
D_1001405595	293	VAPOR DIFFUSION, SITTING DROP
D_1001405596	293	VAPOR DIFFUSION, SITTING DROP
D_1001405597	293	VAPOR DIFFUSION, SITTING DROP
D_1001405598	293	VAPOR DIFFUSION, SITTING DROP
D_1001405599	293	VAPOR DIFFUSION, SITTING DROP
D_1001405600	293	VAPOR DIFFUSION, SITTING DROP
D_1001405601	293	VAPOR DIFFUSION, SITTING DROP
D_1001405602	293	VAPOR DIFFUSION, SITTING DROP
D_1001405603	293	VAPOR DIFFUSION, SITTING DROP
D_1001405604	293	VAPOR DIFFUSION, SITTING DROP
D_1001405605	293	VAPOR DIFFUSION, SITTING DROP
D_1001405606	293	VAPOR DIFFUSION, SITTING DROP
D_1001405607	293	VAPOR DIFFUSION, SITTING DROP
D_1001405608	293	VAPOR DIFFUSION, SITTING DROP
D_1001405609	293	VAPOR DIFFUSION, SITTING DROP
D_1001405610	293	VAPOR DIFFUSION, SITTING DROP
D_1001405611	293	VAPOR DIFFUSION, SITTING DROP
D_1001405612	293	VAPOR DIFFUSION, SITTING DROP
D_1001405613	293	VAPOR DIFFUSION, SITTING DROP
D_1001405614	293	VAPOR DIFFUSION, SITTING DROP
D_1001405615	293	VAPOR DIFFUSION, SITTING DROP
D_1001405616	293	VAPOR DIFFUSION, SITTING DROP
D_1001405617	293	VAPOR DIFFUSION, SITTING DROP
D_1001405618	293	VAPOR DIFFUSION, SITTING DROP
D_1001405619	293	VAPOR DIFFUSION, SITTING DROP
D_1001405620	293	VAPOR DIFFUSION, SITTING DROP
D_1001405621	293	VAPOR DIFFUSION, SITTING DROP
D_1001405622	293	VAPOR DIFFUSION, SITTING DROP
D_1001405623	293	VAPOR DIFFUSION, SITTING DROP
D_1001405624	293	VAPOR DIFFUSION, SITTING DROP
D_1001405625	293	VAPOR DIFFUSION, SITTING DROP
D_1001405626	293	VAPOR DIFFUSION, SITTING DROP
D_1001405627	293	VAPOR DIFFUSION, SITTING DROP
D_1001405628	293	VAPOR DIFFUSION, SITTING DROP
D_1001405629	293	VAPOR DIFFUSION, SITTING DROP
D_1001405630	293	VAPOR DIFFUSION, SITTING DROP
D_1001405631	293	VAPOR DIFFUSION, SITTING DROP
D_1001405632	293	VAPOR DIFFUSION, SITTING DROP
D_1001405633	293	VAPOR DIFFUSION, SITTING DROP
D_1001405634	293	VAPOR DIFFUSION, SITTING DROP
