id	_exptl_crystal_grow.temp	_exptl_crystal_grow.method
D_1001405411	293	VAPOR DIFFUSION, SITTING DROP
D_1001405412	293	VAPOR DIFFUSION, SITTING DROP
D_1001405413	293	VAPOR DIFFUSION, SITTING DROP
D_1001405414	293	VAPOR DIFFUSION, SITTING DROP
D_1001405415	293	VAPOR DIFFUSION, SITTING DROP
D_1001405416	293	VAPOR DIFFUSION, SITTING DROP
D_1001405417	293	VAPOR DIFFUSION, SITTING DROP
D_1001405418	293	VAPOR DIFFUSION, SITTING DROP
D_1001405419	293	VAPOR DIFFUSION, SITTING DROP
D_1001405420	293	VAPOR DIFFUSION, SITTING DROP
D_1001405421	293	VAPOR DIFFUSION, SITTING DROP
D_1001405422	293	VAPOR DIFFUSION, SITTING DROP
D_1001405423	293	VAPOR DIFFUSION, SITTING DROP
D_1001405424	293	VAPOR DIFFUSION, SITTING DROP
D_1001405425	293	VAPOR DIFFUSION, SITTING DROP
D_1001405426	293	VAPOR DIFFUSION, SITTING DROP
D_1001405427	293	VAPOR DIFFUSION, SITTING DROP
D_1001405428	293	VAPOR DIFFUSION, SITTING DROP
D_1001405429	293	VAPOR DIFFUSION, SITTING DROP
D_1001405430	293	VAPOR DIFFUSION, SITTING DROP
D_1001405431	293	VAPOR DIFFUSION, SITTING DROP
D_1001405432	293	VAPOR DIFFUSION, SITTING DROP
D_1001405433	293	VAPOR DIFFUSION, SITTING DROP
D_1001405434	293	VAPOR DIFFUSION, SITTING DROP
D_1001405435	293	VAPOR DIFFUSION, SITTING DROP
D_1001405436	293	VAPOR DIFFUSION, SITTING DROP
D_1001405437	293	VAPOR DIFFUSION, SITTING DROP
D_1001405438	293	VAPOR DIFFUSION, SITTING DROP
D_1001405439	293	VAPOR DIFFUSION, SITTING DROP
D_1001405440	293	VAPOR DIFFUSION, SITTING DROP
D_1001405441	293	VAPOR DIFFUSION, SITTING DROP
D_1001405442	293	VAPOR DIFFUSION, SITTING DROP
D_1001405443	293	VAPOR DIFFUSION, SITTING DROP
D_1001405444	293	VAPOR DIFFUSION, SITTING DROP
D_1001405445	293	VAPOR DIFFUSION, SITTING DROP
D_1001405446	293	VAPOR DIFFUSION, SITTING DROP
D_1001405447	293	VAPOR DIFFUSION, SITTING DROP
D_1001405448	293	VAPOR DIFFUSION, SITTING DROP
D_1001405449	293	VAPOR DIFFUSION, SITTING DROP
D_1001405450	293	VAPOR DIFFUSION, SITTING DROP
D_1001405451	293	VAPOR DIFFUSION, SITTING DROP
D_1001405452	293	VAPOR DIFFUSION, SITTING DROP
D_1001405453	293	VAPOR DIFFUSION, SITTING DROP
D_1001405454	293	VAPOR DIFFUSION, SITTING DROP
D_1001405455	293	VAPOR DIFFUSION, SITTING DROP
D_1001405456	293	VAPOR DIFFUSION, SITTING DROP
D_1001405457	293	VAPOR DIFFUSION, SITTING DROP
D_1001405458	293	VAPOR DIFFUSION, SITTING DROP
D_1001405459	293	VAPOR DIFFUSION, SITTING DROP
D_1001405460	293	VAPOR DIFFUSION, SITTING DROP
D_1001405461	293	VAPOR DIFFUSION, SITTING DROP
D_1001405462	293	VAPOR DIFFUSION, SITTING DROP
D_1001405463	293	VAPOR DIFFUSION, SITTING DROP
D_1001405464	293	VAPOR DIFFUSION, SITTING DROP
D_1001405465	293	VAPOR DIFFUSION, SITTING DROP
D_1001405466	293	VAPOR DIFFUSION, SITTING DROP
D_1001405467	293	VAPOR DIFFUSION, SITTING DROP
D_1001405468	293	VAPOR DIFFUSION, SITTING DROP
D_1001405469	293	VAPOR DIFFUSION, SITTING DROP
D_1001405470	293	VAPOR DIFFUSION, SITTING DROP
D_1001405471	293	VAPOR DIFFUSION, SITTING DROP
D_1001405472	293	VAPOR DIFFUSION, SITTING DROP
D_1001405473	293	VAPOR DIFFUSION, SITTING DROP
D_1001405474	293	VAPOR DIFFUSION, SITTING DROP
D_1001405475	293	VAPOR DIFFUSION, SITTING DROP
D_1001405476	293	VAPOR DIFFUSION, SITTING DROP
D_1001405477	293	VAPOR DIFFUSION, SITTING DROP
D_1001405478	293	VAPOR DIFFUSION, SITTING DROP
D_1001405479	293	VAPOR DIFFUSION, SITTING DROP
D_1001405480	293	VAPOR DIFFUSION, SITTING DROP
D_1001405481	293	VAPOR DIFFUSION, SITTING DROP
D_1001405482	293	VAPOR DIFFUSION, SITTING DROP
D_1001405483	293	VAPOR DIFFUSION, SITTING DROP
D_1001405484	293	VAPOR DIFFUSION, SITTING DROP
D_1001405485	293	VAPOR DIFFUSION, SITTING DROP
D_1001405486	293	VAPOR DIFFUSION, SITTING DROP
D_1001405487	293	VAPOR DIFFUSION, SITTING DROP
D_1001405488	293	VAPOR DIFFUSION, SITTING DROP
D_1001405489	293	VAPOR DIFFUSION, SITTING DROP
D_1001405490	293	VAPOR DIFFUSION, SITTING DROP
D_1001405491	293	VAPOR DIFFUSION, SITTING DROP
D_1001405492	293	VAPOR DIFFUSION, SITTING DROP
D_1001405493	293	VAPOR DIFFUSION, SITTING DROP
