id	_pdbx_deposit_group.group_title	_pdbx_deposit_group.group_description
D_1001405548	To be published	A set of fabp crystal structures
D_1001405549	To be published	A set of fabp crystal structures
D_1001405550	To be published	A set of fabp crystal structures
D_1001405551	To be published	A set of fabp crystal structures
D_1001405552	To be published	A set of fabp crystal structures
D_1001405553	To be published	A set of fabp crystal structures
D_1001405554	To be published	A set of fabp crystal structures
D_1001405555	To be published	A set of fabp crystal structures
D_1001405556	To be published	A set of fabp crystal structures
D_1001405557	To be published	A set of fabp crystal structures
D_1001405558	To be published	A set of fabp crystal structures
D_1001405559	To be published	A set of fabp crystal structures
D_1001405560	To be published	A set of fabp crystal structures
D_1001405561	To be published	A set of fabp crystal structures
D_1001405562	To be published	A set of fabp crystal structures
D_1001405563	To be published	A set of fabp crystal structures
D_1001405564	To be published	A set of fabp crystal structures
D_1001405565	To be published	A set of fabp crystal structures
D_1001405566	To be published	A set of fabp crystal structures
D_1001405567	To be published	A set of fabp crystal structures
D_1001405568	To be published	A set of fabp crystal structures
D_1001405569	To be published	A set of fabp crystal structures
D_1001405570	To be published	A set of fabp crystal structures
D_1001405571	To be published	A set of fabp crystal structures
D_1001405572	To be published	A set of fabp crystal structures
D_1001405573	To be published	A set of fabp crystal structures
D_1001405574	To be published	A set of fabp crystal structures
D_1001405575	To be published	A set of fabp crystal structures
D_1001405576	To be published	A set of fabp crystal structures
D_1001405577	To be published	A set of fabp crystal structures
D_1001405578	To be published	A set of fabp crystal structures
D_1001405579	To be published	A set of fabp crystal structures
D_1001405580	To be published	A set of fabp crystal structures
D_1001405581	To be published	A set of fabp crystal structures
D_1001405582	To be published	A set of fabp crystal structures
D_1001405583	To be published	A set of fabp crystal structures
D_1001405584	To be published	A set of fabp crystal structures
D_1001405585	To be published	A set of fabp crystal structures
D_1001405586	To be published	A set of fabp crystal structures
D_1001405587	To be published	A set of fabp crystal structures
D_1001405588	To be published	A set of fabp crystal structures
D_1001405589	To be published	A set of fabp crystal structures
D_1001405590	To be published	A set of fabp crystal structures
D_1001405591	To be published	A set of fabp crystal structures
D_1001405592	To be published	A set of fabp crystal structures
D_1001405593	To be published	A set of fabp crystal structures
D_1001405594	To be published	A set of fabp crystal structures
D_1001405595	To be published	A set of fabp crystal structures
D_1001405596	To be published	A set of fabp crystal structures
D_1001405597	To be published	A set of fabp crystal structures
D_1001405598	To be published	A set of fabp crystal structures
D_1001405599	To be published	A set of fabp crystal structures
D_1001405600	To be published	A set of fabp crystal structures
D_1001405601	To be published	A set of fabp crystal structures
D_1001405602	To be published	A set of fabp crystal structures
D_1001405603	To be published	A set of fabp crystal structures
D_1001405604	To be published	A set of fabp crystal structures
D_1001405605	To be published	A set of fabp crystal structures
D_1001405606	To be published	A set of fabp crystal structures
D_1001405607	To be published	A set of fabp crystal structures
D_1001405608	To be published	A set of fabp crystal structures
D_1001405609	To be published	A set of fabp crystal structures
D_1001405610	To be published	A set of fabp crystal structures
D_1001405611	To be published	A set of fabp crystal structures
D_1001405612	To be published	A set of fabp crystal structures
D_1001405613	To be published	A set of fabp crystal structures
D_1001405614	To be published	A set of fabp crystal structures
D_1001405615	To be published	A set of fabp crystal structures
D_1001405616	To be published	A set of fabp crystal structures
D_1001405617	To be published	A set of fabp crystal structures
D_1001405618	To be published	A set of fabp crystal structures
D_1001405619	To be published	A set of fabp crystal structures
D_1001405620	To be published	A set of fabp crystal structures
