id	_refine.ls_d_res_high
D_1001405411	1.2400
D_1001405412	1.0800
D_1001405413	1.0400
D_1001405414	1.0500
D_1001405415	1.0000
D_1001405416	1.1200
D_1001405417	1.1200
D_1001405418	1.2600
D_1001405419	1.1200
D_1001405420	1.0800
D_1001405421	1.4400
D_1001405422	1.1500
D_1001405423	1.0400
D_1001405424	1.0600
D_1001405425	1.1600
D_1001405426	1.0000
D_1001405427	1.0700
D_1001405428	1.1200
D_1001405429	1.1200
D_1001405430	1.1200
D_1001405431	1.0500
D_1001405432	1.2400
D_1001405433	1.1300
D_1001405434	1.1200
D_1001405435	2.0000
D_1001405436	1.0800
D_1001405437	0.9500
D_1001405438	1.1200
D_1001405439	1.1700
D_1001405440	1.1200
D_1001405441	1.1200
D_1001405442	1.0300
D_1001405443	1.2000
D_1001405444	1.1200
D_1001405445	1.1000
D_1001405446	1.5400
D_1001405447	1.0100
D_1001405448	1.4500
D_1001405449	1.0500
D_1001405450	1.1300
D_1001405451	1.1200
D_1001405452	1.1200
D_1001405453	1.0300
D_1001405454	0.9900
D_1001405455	1.4700
D_1001405456	1.1200
D_1001405457	1.0200
D_1001405458	1.1200
D_1001405459	1.0500
D_1001405460	1.1200
D_1001405461	1.1200
D_1001405462	1.1000
D_1001405463	1.1200
D_1001405464	1.1200
D_1001405465	1.1200
D_1001405466	2.4400
D_1001405467	1.0400
D_1001405468	0.9500
D_1001405469	1.1200
D_1001405470	1.0200
D_1001405471	1.5100
D_1001405472	1.0300
D_1001405473	1.0300
D_1001405474	1.1200
D_1001405475	1.1900
D_1001405476	1.0200
D_1001405477	1.3000
D_1001405478	1.0500
D_1001405479	1.1200
D_1001405480	0.9900
D_1001405481	1.2500
D_1001405482	1.0700
D_1001405483	1.9600
D_1001405484	0.8800
D_1001405485	1.1800
D_1001405486	1.2900
D_1001405487	1.1300
D_1001405488	1.0300
D_1001405489	1.3400
D_1001405490	2.0100
D_1001405491	1.1200
D_1001405492	1.1200
D_1001405493	1.5100
D_1001405494	1.1200
D_1001405495	1.1200
D_1001405496	1.0500
D_1001405497	2.2300
D_1001405498	1.7400
D_1001405499	1.8800
D_1001405500	1.0500
D_1001405501	1.0800
D_1001405502	1.4500
D_1001405503	1.2500
D_1001405504	1.0200
D_1001405505	0.9400
D_1001405506	1.3400
D_1001405507	1.1400
D_1001405508	2.6000
D_1001405509	1.1200
D_1001405510	1.0700
D_1001405511	1.2100
D_1001405512	1.3700
D_1001405513	1.1200
D_1001405514	1.1200
D_1001405515	1.1200
D_1001405516	1.0500
D_1001405517	1.0500
D_1001405518	1.2400
D_1001405519	1.1700
D_1001405520	0.9700
D_1001405521	1.8100
D_1001405522	1.4000
D_1001405523	1.1200
D_1001405524	1.1300
D_1001405525	1.0200
D_1001405526	0.9900
D_1001405527	1.1200
D_1001405528	1.1000
D_1001405529	1.0100
D_1001405530	1.2500
D_1001405531	1.0900
D_1001405532	1.1200
D_1001405533	1.2200
D_1001405534	0.9600
D_1001405535	2.6010
D_1001405536	1.0800
D_1001405537	1.1200
D_1001405538	1.0200
D_1001405539	1.1700
D_1001405540	1.0900
D_1001405541	1.4900
D_1001405542	1.1200
D_1001405543	1.0700
D_1001405544	1.2500
D_1001405545	1.1200
D_1001405546	1.1200
D_1001405547	1.0500
D_1001405548	1.1200
D_1001405549	0.9900
D_1001405550	1.1200
D_1001405551	1.5970
D_1001405552	1.1200
D_1001405553	1.0400
D_1001405554	1.4000
D_1001405555	1.2500
D_1001405556	2.5500
D_1001405557	1.2400
D_1001405558	1.0700
D_1001405559	1.1700
D_1001405560	1.1200
D_1001405561	2.6000
D_1001405562	1.1700
D_1001405563	1.0300
D_1001405564	1.2700
D_1001405565	1.4000
D_1001405566	0.9500
D_1001405567	1.2600
D_1001405568	1.6100
D_1001405569	0.9900
D_1001405570	1.0500
D_1001405571	1.1200
D_1001405572	1.4700
D_1001405573	1.1400
D_1001405574	1.1200
D_1001405575	1.1100
D_1001405576	1.1200
D_1001405577	1.1200
D_1001405578	1.4600
D_1001405579	1.0700
D_1001405580	1.0800
D_1001405581	1.1300
D_1001405582	1.1800
D_1001405583	1.0500
D_1001405584	1.1200
D_1001405585	1.3200
D_1001405586	1.0200
D_1001405587	1.0200
D_1001405588	1.0300
D_1001405589	1.0200
D_1001405590	1.6500
D_1001405591	1.1200
D_1001405592	1.0600
D_1001405593	1.6400
D_1001405594	1.4800
D_1001405595	0.9900
D_1001405596	0.8400
D_1001405597	1.2600
D_1001405598	1.1200
D_1001405599	1.6400
D_1001405600	1.1500
D_1001405601	1.2000
D_1001405602	1.2800
D_1001405603	1.1000
D_1001405604	1.0500
D_1001405605	1.1200
D_1001405606	1.0400
D_1001405607	1.1200
D_1001405608	1.1700
D_1001405609	1.0800
D_1001405610	1.1200
D_1001405611	1.2100
D_1001405612	0.9100
D_1001405613	1.0300
D_1001405614	1.1200
D_1001405615	1.5300
D_1001405616	1.1100
D_1001405617	1.1200
D_1001405618	0.9800
D_1001405619	1.3400
D_1001405620	1.5500
D_1001405621	1.1200
D_1001405622	1.2800
D_1001405623	1.2400
D_1001405624	0.9300
D_1001405625	1.0800
D_1001405626	1.1000
D_1001405627	1.1400
D_1001405628	1.0200
D_1001405629	1.3400
D_1001405630	1.6500
D_1001405631	0.9500
D_1001405632	1.1200
D_1001405633	1.1200
