id	_exptl_crystal_grow.temp	_exptl_crystal_grow.method
D_1001400001	290	VAPOR DIFFUSION, SITTING DROP
D_1001400002	290	VAPOR DIFFUSION, SITTING DROP
D_1001400003	290	VAPOR DIFFUSION, SITTING DROP
D_1001400004	290	VAPOR DIFFUSION, SITTING DROP
D_1001400005	290	VAPOR DIFFUSION, SITTING DROP
D_1001400006	290	VAPOR DIFFUSION, SITTING DROP
D_1001400007	290	VAPOR DIFFUSION, SITTING DROP
D_1001400008	290	VAPOR DIFFUSION, SITTING DROP
D_1001400009	290	VAPOR DIFFUSION, SITTING DROP
D_1001400010	290	VAPOR DIFFUSION, SITTING DROP
D_1001400011	290	VAPOR DIFFUSION, SITTING DROP
D_1001400012	290	VAPOR DIFFUSION, SITTING DROP
D_1001400013	290	VAPOR DIFFUSION, SITTING DROP
D_1001400014	290	VAPOR DIFFUSION, SITTING DROP
D_1001400015	290	VAPOR DIFFUSION, SITTING DROP
D_1001400016	290	VAPOR DIFFUSION, SITTING DROP
D_1001400017	290	VAPOR DIFFUSION, SITTING DROP
D_1001400018	290	VAPOR DIFFUSION, SITTING DROP
D_1001400019	290	VAPOR DIFFUSION, SITTING DROP
D_1001400020	290	VAPOR DIFFUSION, SITTING DROP
D_1001400021	290	VAPOR DIFFUSION, SITTING DROP
D_1001400022	290	VAPOR DIFFUSION, SITTING DROP
D_1001400023	290	VAPOR DIFFUSION, SITTING DROP
D_1001400024	290	VAPOR DIFFUSION, SITTING DROP
D_1001400025	290	VAPOR DIFFUSION, SITTING DROP
D_1001400026	290	VAPOR DIFFUSION, SITTING DROP
D_1001400027	290	VAPOR DIFFUSION, SITTING DROP
D_1001400028	290	VAPOR DIFFUSION, SITTING DROP
D_1001400029	290	VAPOR DIFFUSION, SITTING DROP
D_1001400030	290	VAPOR DIFFUSION, SITTING DROP
D_1001400031	290	VAPOR DIFFUSION, SITTING DROP
D_1001400032	290	VAPOR DIFFUSION, SITTING DROP
D_1001400033	290	VAPOR DIFFUSION, SITTING DROP
D_1001400034	290	VAPOR DIFFUSION, SITTING DROP
D_1001400035	290	VAPOR DIFFUSION, SITTING DROP
D_1001400036	290	VAPOR DIFFUSION, SITTING DROP
D_1001400037	290	VAPOR DIFFUSION, SITTING DROP
D_1001400038	290	VAPOR DIFFUSION, SITTING DROP
D_1001400039	290	VAPOR DIFFUSION, SITTING DROP
D_1001400040	290	VAPOR DIFFUSION, SITTING DROP
D_1001400041	290	VAPOR DIFFUSION, SITTING DROP
D_1001400042	290	VAPOR DIFFUSION, SITTING DROP
D_1001400043	290	VAPOR DIFFUSION, SITTING DROP
D_1001400044	290	VAPOR DIFFUSION, SITTING DROP
D_1001400045	290	VAPOR DIFFUSION, SITTING DROP
D_1001400046	290	VAPOR DIFFUSION, SITTING DROP
D_1001400047	290	VAPOR DIFFUSION, SITTING DROP
D_1001400048	290	VAPOR DIFFUSION, SITTING DROP
D_1001400049	290	VAPOR DIFFUSION, SITTING DROP
D_1001400050	290	VAPOR DIFFUSION, SITTING DROP
D_1001400051	290	VAPOR DIFFUSION, SITTING DROP
D_1001400052	290	VAPOR DIFFUSION, SITTING DROP
D_1001400053	290	VAPOR DIFFUSION, SITTING DROP
D_1001400054	290	VAPOR DIFFUSION, SITTING DROP
D_1001400055	290	VAPOR DIFFUSION, SITTING DROP
D_1001400056	290	VAPOR DIFFUSION, SITTING DROP
D_1001400057	290	VAPOR DIFFUSION, SITTING DROP
D_1001400058	290	VAPOR DIFFUSION, SITTING DROP
D_1001400059	290	VAPOR DIFFUSION, SITTING DROP
D_1001400060	290	VAPOR DIFFUSION, SITTING DROP
D_1001400061	290	VAPOR DIFFUSION, SITTING DROP
D_1001400062	290	VAPOR DIFFUSION, SITTING DROP
D_1001400063	290	VAPOR DIFFUSION, SITTING DROP
D_1001400064	290	VAPOR DIFFUSION, SITTING DROP
D_1001400065	290	VAPOR DIFFUSION, SITTING DROP
D_1001400066	290	VAPOR DIFFUSION, SITTING DROP
D_1001400067	290	VAPOR DIFFUSION, SITTING DROP
D_1001400068	290	VAPOR DIFFUSION, SITTING DROP
D_1001400069	290	VAPOR DIFFUSION, SITTING DROP
D_1001400070	290	VAPOR DIFFUSION, SITTING DROP
D_1001400071	290	VAPOR DIFFUSION, SITTING DROP
D_1001400072	290	VAPOR DIFFUSION, SITTING DROP
D_1001400073	290	VAPOR DIFFUSION, SITTING DROP
D_1001400074	290	VAPOR DIFFUSION, SITTING DROP
D_1001400075	290	VAPOR DIFFUSION, SITTING DROP
D_1001400076	290	VAPOR DIFFUSION, SITTING DROP
D_1001400077	290	VAPOR DIFFUSION, SITTING DROP
D_1001400078	290	VAPOR DIFFUSION, SITTING DROP
D_1001400079	290	VAPOR DIFFUSION, SITTING DROP
D_1001400080	290	VAPOR DIFFUSION, SITTING DROP
D_1001400081	290	VAPOR DIFFUSION, SITTING DROP
