id	_exptl_crystal_grow.temp	_exptl_crystal_grow.method
D_1001405032	293	VAPOR DIFFUSION, SITTING DROP
D_1001405033	293	VAPOR DIFFUSION, SITTING DROP
D_1001405034	293	VAPOR DIFFUSION, SITTING DROP
D_1001405035	293	VAPOR DIFFUSION, SITTING DROP
D_1001405036	293	VAPOR DIFFUSION, SITTING DROP
D_1001405037	293	VAPOR DIFFUSION, SITTING DROP
D_1001405038	293	VAPOR DIFFUSION, SITTING DROP
D_1001405039	293	VAPOR DIFFUSION, SITTING DROP
D_1001405040	293	VAPOR DIFFUSION, SITTING DROP
D_1001405041	293	VAPOR DIFFUSION, SITTING DROP
D_1001405042	293	VAPOR DIFFUSION, SITTING DROP
D_1001405043	293	VAPOR DIFFUSION, SITTING DROP
D_1001405044	293	VAPOR DIFFUSION, SITTING DROP
D_1001405045	293	VAPOR DIFFUSION, SITTING DROP
D_1001405046	293	VAPOR DIFFUSION, SITTING DROP
D_1001405047	293	VAPOR DIFFUSION, SITTING DROP
D_1001405048	293	VAPOR DIFFUSION, SITTING DROP
D_1001405049	293	VAPOR DIFFUSION, SITTING DROP
D_1001405050	293	VAPOR DIFFUSION, SITTING DROP
D_1001405051	293	VAPOR DIFFUSION, SITTING DROP
D_1001405052	293	VAPOR DIFFUSION, SITTING DROP
D_1001405053	293	VAPOR DIFFUSION, SITTING DROP
D_1001405054	293	VAPOR DIFFUSION, SITTING DROP
D_1001405055	293	VAPOR DIFFUSION, SITTING DROP
D_1001405056	293	VAPOR DIFFUSION, SITTING DROP
D_1001405057	293	VAPOR DIFFUSION, SITTING DROP
D_1001405058	293	VAPOR DIFFUSION, SITTING DROP
D_1001405059	293	VAPOR DIFFUSION, SITTING DROP
D_1001405060	293	VAPOR DIFFUSION, SITTING DROP
D_1001405061	293	VAPOR DIFFUSION, SITTING DROP
D_1001405062	293	VAPOR DIFFUSION, SITTING DROP
D_1001405063	293	VAPOR DIFFUSION, SITTING DROP
D_1001405064	293	VAPOR DIFFUSION, SITTING DROP
D_1001405065	293	VAPOR DIFFUSION, SITTING DROP
D_1001405066	293	VAPOR DIFFUSION, SITTING DROP
D_1001405067	293	VAPOR DIFFUSION, SITTING DROP
D_1001405068	293	VAPOR DIFFUSION, SITTING DROP
D_1001405069	293	VAPOR DIFFUSION, SITTING DROP
D_1001405070	293	VAPOR DIFFUSION, SITTING DROP
D_1001405071	293	VAPOR DIFFUSION, SITTING DROP
D_1001405072	293	VAPOR DIFFUSION, SITTING DROP
D_1001405073	293	VAPOR DIFFUSION, SITTING DROP
D_1001405074	293	VAPOR DIFFUSION, SITTING DROP
D_1001405075	293	VAPOR DIFFUSION, SITTING DROP
D_1001405076	293	VAPOR DIFFUSION, SITTING DROP
D_1001405077	293	VAPOR DIFFUSION, SITTING DROP
D_1001405078	293	VAPOR DIFFUSION, SITTING DROP
D_1001405079	293	VAPOR DIFFUSION, SITTING DROP
D_1001405080	293	VAPOR DIFFUSION, SITTING DROP
D_1001405081	293	VAPOR DIFFUSION, SITTING DROP
D_1001405082	293	VAPOR DIFFUSION, SITTING DROP
D_1001405083	293	VAPOR DIFFUSION, SITTING DROP
D_1001405084	293	VAPOR DIFFUSION, SITTING DROP
D_1001405085	293	VAPOR DIFFUSION, SITTING DROP
D_1001405086	293	VAPOR DIFFUSION, SITTING DROP
D_1001405087	293	VAPOR DIFFUSION, SITTING DROP
D_1001405088	293	VAPOR DIFFUSION, SITTING DROP
D_1001405089	293	VAPOR DIFFUSION, SITTING DROP
D_1001405090	293	VAPOR DIFFUSION, SITTING DROP
D_1001405091	293	VAPOR DIFFUSION, SITTING DROP
D_1001405092	293	VAPOR DIFFUSION, SITTING DROP
D_1001405093	293	VAPOR DIFFUSION, SITTING DROP
D_1001405094	293	VAPOR DIFFUSION, SITTING DROP
D_1001405095	293	VAPOR DIFFUSION, SITTING DROP
D_1001405096	293	VAPOR DIFFUSION, SITTING DROP
D_1001405097	293	VAPOR DIFFUSION, SITTING DROP
D_1001405098	293	VAPOR DIFFUSION, SITTING DROP
D_1001405099	293	VAPOR DIFFUSION, SITTING DROP
D_1001405100	293	VAPOR DIFFUSION, SITTING DROP
D_1001405101	293	VAPOR DIFFUSION, SITTING DROP
D_1001405102	293	VAPOR DIFFUSION, SITTING DROP
D_1001405103	293	VAPOR DIFFUSION, SITTING DROP
D_1001405104	293	VAPOR DIFFUSION, SITTING DROP
D_1001405105	293	VAPOR DIFFUSION, SITTING DROP
D_1001405106	293	VAPOR DIFFUSION, SITTING DROP
