id	_pdbx_deposit_group.group_title	_pdbx_deposit_group.group_description
D_1001404927	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404928	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404929	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404930	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404931	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404932	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404933	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404934	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404935	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404936	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404937	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404938	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404939	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404940	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404941	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404942	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404943	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404944	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404945	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404946	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404947	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404948	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404949	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404950	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404951	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404952	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404953	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404954	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404955	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404956	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404957	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404958	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404959	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404960	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404961	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404962	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404963	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404964	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404965	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404966	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404967	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404968	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404969	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
D_1001404970	PanDDA analysis group deposition	Aar2/RNaseH complexed with fragments of the F2X-Universal Library. Deposited are the PanDDA bound state models after inspection and ligand placement based on PanDDA event maps. The event maps are included in the mmcif and are the determining evidence for the ligands. 2FoFc and FoFc maps will be mostly not useful to consider here.
