id	_refine.ls_d_res_high
D_1001400001	1.4900
D_1001400002	1.4880
D_1001400003	1.6490
D_1001400004	1.5890
D_1001400005	1.2500
D_1001400006	1.4390
D_1001400007	1.4830
D_1001400008	1.6540
D_1001400009	1.4470
D_1001400010	1.4870
D_1001400011	1.4490
D_1001400012	1.4780
D_1001400013	1.6100
D_1001400014	1.7540
D_1001400015	1.4780
D_1001400016	1.4850
D_1001400017	1.5460
D_1001400018	1.6080
D_1001400019	1.5600
D_1001400020	1.6090
D_1001400021	1.4900
D_1001400022	1.4880
D_1001400023	1.7090
D_1001400024	1.3700
D_1001400025	1.2410
D_1001400026	1.5270
D_1001400027	1.4900
D_1001400028	1.4880
D_1001400029	1.5000
D_1001400030	1.4890
D_1001400031	1.3280
D_1001400032	1.7400
D_1001400033	1.4870
D_1001400034	1.4890
D_1001400035	1.5790
D_1001400036	1.4900
D_1001400037	1.5030
D_1001400038	1.7690
D_1001400039	1.7200
D_1001400040	1.8000
D_1001400041	1.1180
D_1001400042	1.4760
D_1001400043	1.5400
D_1001400044	1.4840
D_1001400045	1.4890
D_1001400046	1.5270
D_1001400047	1.5080
D_1001400048	1.5140
D_1001400049	1.4870
D_1001400050	1.4900
D_1001400051	1.6690
D_1001400052	1.6030
D_1001400053	1.3190
D_1001400054	1.6190
D_1001400055	1.6050
D_1001400056	1.6090
D_1001400057	1.8180
D_1001400058	1.6300
D_1001400059	1.8190
D_1001400060	1.8490
D_1001400061	1.7990
D_1001400062	1.2490
D_1001400063	1.4900
D_1001400064	1.8000
D_1001400065	1.1490
D_1001400066	1.1500
D_1001400067	1.6000
D_1001400068	1.5080
D_1001400069	1.1190
D_1001400070	1.1380
D_1001400071	1.3280
D_1001400072	1.3000
D_1001400073	1.4800
D_1001400074	1.2490
D_1001400075	1.2000
D_1001400076	1.1290
D_1001400077	1.4600
D_1001400078	1.4000
D_1001400079	1.2690
D_1001400080	1.2700
D_1001400081	1.3200
D_1001400082	1.2600
D_1001400083	1.4880
D_1001400084	1.3800
D_1001400085	1.5490
D_1001400086	1.3990
D_1001400087	1.2400
D_1001400088	1.4100
D_1001400089	1.6400
D_1001400090	1.3990
D_1001400091	1.3490
D_1001400092	1.1290
D_1001400093	1.4000
D_1001400094	1.3780
D_1001400095	1.3470
D_1001400096	1.2790
D_1001400097	1.5890
D_1001400098	1.2590
D_1001400099	1.4780
D_1001400100	1.5280
D_1001400101	1.3380
D_1001400102	1.3690
D_1001400103	1.5490
D_1001400104	1.2490
D_1001400105	1.5990
D_1001400106	1.5160
D_1001400107	1.5150
D_1001400108	1.3190
D_1001400109	1.1700
D_1001400110	1.3290
D_1001400111	1.3190
D_1001400112	1.4030
D_1001400113	1.4990
D_1001400114	1.3010
D_1001400115	1.2300
D_1001400116	1.1960
D_1001400117	1.5180
D_1001400118	1.4590
D_1001400119	1.4350
D_1001400120	1.3090
D_1001400121	1.7130
D_1001400122	1.7090
D_1001400123	1.2590
D_1001400124	1.4110
D_1001400125	1.4510
D_1001400126	1.3450
D_1001400127	1.4770
D_1001400128	1.3730
D_1001400129	1.7000
D_1001400130	1.7490
D_1001400131	1.2990
D_1001400132	1.5270
D_1001400133	1.7970
D_1001400134	1.4890
D_1001400135	1.6210
D_1001400136	1.4280
D_1001400137	1.5590
D_1001400138	1.8220
D_1001400139	1.1190
D_1001400140	1.0890
D_1001400141	1.5490
D_1001400142	1.1190
D_1001400143	1.3500
D_1001400144	1.1690
D_1001400145	1.0780
D_1001400146	1.0980
D_1001400147	1.3790
D_1001400148	1.3170
D_1001400149	1.5180
D_1001400150	1.3990
D_1001400151	1.6390
D_1001400152	1.5190
D_1001400153	1.8450
D_1001400154	1.2490
D_1001400155	1.1190
D_1001400156	1.2600
D_1001400157	1.2090
D_1001400158	1.2400
D_1001400159	1.3690
D_1001400160	1.4190
D_1001400161	1.2890
D_1001400162	1.1880
D_1001400163	1.1770
D_1001400164	1.2390
D_1001400165	1.2660
D_1001400166	1.1800
D_1001400167	1.1700
D_1001400168	1.2570
D_1001400169	1.3890
D_1001400170	1.3890
D_1001400171	1.2500
D_1001400172	1.3390
D_1001400173	1.7470
D_1001400174	1.2500
D_1001400175	1.1890
D_1001400176	1.4390
D_1001400177	1.2490
D_1001400178	1.4590
D_1001400179	1.0900
D_1001400180	1.3690
D_1001400181	1.1700
D_1001400182	1.1880
D_1001400183	1.2000
D_1001400184	1.4680
D_1001400185	1.2380
D_1001400186	1.4200
D_1001400187	1.2190
D_1001400188	1.1960
D_1001400189	1.2280
D_1001400190	1.2780
D_1001400191	1.1790
D_1001400192	1.1890
D_1001400193	1.1800
D_1001400194	1.1890
D_1001400195	1.1790
D_1001400196	1.1800
D_1001400197	1.1700
D_1001400198	1.2590
D_1001400199	1.3480
D_1001400200	1.1990
D_1001400201	1.2570
D_1001400202	1.2470
D_1001400203	1.3990
D_1001400204	1.4090
D_1001400205	1.1590
D_1001400206	1.4480
D_1001400207	1.4160
D_1001400208	1.5170
D_1001400209	1.4700
D_1001400210	1.0790
D_1001400211	1.0700
D_1001400212	1.2470
D_1001400213	1.0600
D_1001400214	1.5690
D_1001400215	1.5870
D_1001400216	1.1300
D_1001400217	1.3080
D_1001400218	1.6990
D_1001400219	1.3190
D_1001400220	1.3290
D_1001400221	1.1500
D_1001400222	1.5760
D_1001400223	1.4080
D_1001400224	1.2480
D_1001400225	1.1190
D_1001400226	1.1190
D_1001400227	1.2700
D_1001400228	1.1200
D_1001400229	1.0870
D_1001400230	1.2990
D_1001400231	1.4990
D_1001400232	1.4180
D_1001400233	1.1200
D_1001400234	1.1800
D_1001400235	1.2680
D_1001400236	1.2090
D_1001400237	1.3390
D_1001400238	1.5790
D_1001400239	1.2690
D_1001400240	1.2980
D_1001400241	1.6610
D_1001400242	1.0900
D_1001400243	1.1800
D_1001400244	1.1690
D_1001400245	1.2590
D_1001400246	1.7250
D_1001400247	1.1800
D_1001400248	1.6890
D_1001400249	1.1990
D_1001400250	1.0900
D_1001400251	1.2840
D_1001400252	1.3080
D_1001400253	1.1390
D_1001400254	1.1790
D_1001400255	1.4190
D_1001400256	1.0590
D_1001400257	1.2990
D_1001400258	1.0690
D_1001400259	1.1390
D_1001400260	1.1690
D_1001400261	1.2380
D_1001400262	1.0890
D_1001400263	1.2780
D_1001400264	1.1990
D_1001400265	1.0690
D_1001400266	1.1000
D_1001400267	1.1870
D_1001400268	1.1160
D_1001400269	1.2500
D_1001400270	1.4400
D_1001400271	1.1580
D_1001400272	1.4690
D_1001400273	1.3390
D_1001400274	1.4390
D_1001400275	1.2090
D_1001400276	1.1290
D_1001400277	1.0880
D_1001400278	1.4490
D_1001400279	1.1980
D_1001400280	1.2590
D_1001400281	1.6070
D_1001400282	1.0490
D_1001400283	1.3450
D_1001400284	1.1090
D_1001400285	1.1300
D_1001400286	1.2780
D_1001400287	1.2380
D_1001400288	1.2690
D_1001400289	1.3390
D_1001400290	1.4570
D_1001400291	1.0600
D_1001400292	1.2760
D_1001400293	1.6080
D_1001400294	1.3970
D_1001400295	1.1800
D_1001400296	1.2790
D_1001400297	1.0190
D_1001400298	1.0300
D_1001400299	1.0490
D_1001400300	1.0190
D_1001400301	1.0400
D_1001400302	1.4310
D_1001400303	1.0390
D_1001400304	1.0290
D_1001400305	1.6870
D_1001400306	1.1290
D_1001400307	1.2480
D_1001400308	1.4070
D_1001400309	1.2690
D_1001400310	1.1690
D_1001400311	1.2340
D_1001400312	1.0790
D_1001400313	1.0990
D_1001400314	1.1880
D_1001400315	1.1870
D_1001400316	1.3070
D_1001400317	1.0990
D_1001400318	1.1700
D_1001400319	1.3290
D_1001400320	1.6470
D_1001400321	1.4820
D_1001400322	1.4390
D_1001400323	1.1080
D_1001400324	1.4760
D_1001400325	1.1890
D_1001400326	1.4590
D_1001400327	1.0980
D_1001400328	1.2800
D_1001400329	1.3600
D_1001400330	1.4690
D_1001400331	1.6540
D_1001400332	1.2590
D_1001400333	1.2390
D_1001400334	1.6000
D_1001400335	1.2200
D_1001400336	1.5180
D_1001400337	1.2890
D_1001400338	1.2290
D_1001400339	1.3300
D_1001400340	1.3490
D_1001400341	1.2190
D_1001400342	1.2690
D_1001400343	1.2680
D_1001400344	1.5480
D_1001400345	1.2990
D_1001400346	1.1790
D_1001400347	1.2190
D_1001400348	1.2690
D_1001400349	1.2790
D_1001400350	1.2400
D_1001400351	1.2190
D_1001400352	1.3290
D_1001400353	1.2590
D_1001400354	1.2390
D_1001400355	1.1990
D_1001400356	1.4880
D_1001400357	1.4770
D_1001400358	1.2190
D_1001400359	1.1390
D_1001400360	1.0700
D_1001400361	1.1090
D_1001400362	1.0300
D_1001400363	1.4400
D_1001400364	1.5790
